match_number,match_id,team,Accurate passes,Aerial duels,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Crosses,Dispossessed,Dribbles,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Final third phase,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,Ground duels,High claims,Hit woodwork,Interceptions,Long balls,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards
47,12436977,tottenham,355,13/20 (65%),48%,7,5,2,1,10,20,9,4/23 (17%),16,11/22 (50%),49%,0,1,3.52,51,148/193 (77%),1,11,8,3,5,0.54,37/83 (45%),3,0,17,20/31 (65%),1,434,,1,71,,19,3,10,4,18,61%,3,18,5,23,18,61,3
47,12436977,brentford,393,7/20 (35%),52%,2,2,0,0,0,26,4,1/12 (8%),10,8/16 (50%),51%,1,2,0.80,47,72/115 (63%),1,9,11,10,6,-1.02,46/83 (55%),1,0,11,37/75 (49%),2,489,,0,65,,5,0,6,1,27,59%,0,16,6,6,27,18,1
48,12436962,crystal-palace,221,13/31 (42%),33%,3,3,,3,2,30,4,6/14 (43%),8,4/10 (40%),53%,,1,1.01,34,45/72 (63%),2,7,11,11,7,1.90,37/64 (58%),3,0,13,24/64 (38%),1,313,,,55,,7,3,4,2,22,45%,0,9,7,9,22,16,3
48,12436962,man-utd,547,18/31 (58%),67%,5,5,,1,4,14,11,3/23 (13%),14,7/15 (47%),47%,,0,1.70,72,125/172 (73%),2,12,6,4,4,0.52,27/64 (42%),0,3,9,14/47 (30%),0,639,,,50,,11,5,6,4,14,57%,3,31,4,15,14,33,2
49,12436959,brighton,475,18/28 (64%),70%,2,1,1,,7,9,9,9/43 (21%),11,10/17 (59%),52%,,,1.00,64,154/195 (79%),3,12,9,1,2,-0.32,31/66 (47%),1,0,7,17/32 (53%),0,542,,1,39,0,8,4,3,6,12,42%,0,25,2,14,12,31,3
49,12436959,forest,169,10/28 (36%),30%,2,0,2,,1,48,1,0/4 (0%),9,8/11 (73%),48%,,,1.42,44,23/56 (41%),1,11,10,12,1,-0.91,35/66 (53%),0,0,8,14/59 (24%),4,245,,0,34,1,4,0,3,0,18,44%,1,16,1,4,18,14,6
50,12436971,man-city,644,16/28 (57%),77%,5,3,2,,13,9,8,6/24 (25%),7,10/19 (53%),55%,,1,2.18,54,399/433 (92%),3,7,10,3,1,-0.53,30/55 (55%),0,1,3,21/42 (50%),0,705,,,40,0,15,9,11,18,10,50%,1,20,1,33,10,55,3
50,12436971,arsenal,148,12/28 (43%),23%,3,2,1,,0,37,2,3/7 (43%),6,4/8 (50%),45%,,1,0.67,34,25/50 (50%),1,10,6,12,9,0.22,25/55 (45%),3,0,4,14/47 (30%),1,208,,,41,1,4,2,3,1,16,63%,0,5,9,5,16,8,6
51,12436999,newcastle,261,13/19 (68%),38%,2,1,1,1,4,21,5,5/16 (31%),13,8/10 (80%),49%,,1,1.57,45,82/112 (73%),1,14,10,8,5,0.36,33/75 (44%),1,0,10,23/49 (47%),1,331,,,54,,10,3,4,1,15,47%,1,14,5,11,15,25,4
51,12436999,man-city,490,6/19 (32%),62%,1,0,1,0,6,20,6,2/19 (11%),8,13/20 (65%),51%,,0,0.91,53,173/207 (84%),2,10,14,5,3,0.14,42/75 (56%),0,0,7,18/37 (49%),0,558,,,52,,12,4,6,4,15,73%,3,14,3,16,15,40,4
52,12436985,arsenal,592,18/33 (55%),75%,9,6,3,0,9,8,17,9/38 (24%),14,18/28 (64%),53%,,0,4.60,62,289/340 (85%),2,11,6,3,1,-1.79,43/82 (52%),0,1,4,17/32 (53%),0,664,,0,46,,27,10,16,8,19,63%,,19,1,35,19,77,2
52,12436985,leicester,171,15/33 (45%),25%,0,0,0,3,1,63,0,2/4 (50%),8,4/15 (27%),47%,,2,0.32,18,23/35 (66%),1,6,11,10,13,1.74,39/82 (48%),1,0,6,17/44 (39%),1,232,,3,31,,5,1,3,0,24,58%,,16,13,5,24,11,4
53,12436987,brentford,425,18/35 (51%),57%,1,1,0,1,3,20,7,5/28 (18%),8,4/13 (31%),54%,,0,0.37,69,111/162 (69%),4,2,8,13,2,0.28,35/64 (55%),1,0,10,23/56 (41%),1,528,,1,44,,4,2,3,4,25,60%,0,18,2,8,25,22,2
53,12436987,west-ham,316,17/35 (49%),43%,1,0,1,0,6,37,6,4/16 (25%),17,10/18 (56%),46%,,1,0.99,54,105/150 (70%),0,11,2,6,2,0.25,29/64 (45%),0,0,10,34/65 (52%),2,399,,0,55,,11,10,3,8,17,41%,1,18,2,19,17,39,3
54,12436989,chelsea,288,7/19 (37%),41%,7,5,2,2,3,17,8,3/11 (27%),4,15/27 (56%),51%,2,0,4.16,38,39/72 (54%),2,11,8,8,4,-0.62,44/81 (54%),,2,7,19/48 (40%),6,376,,,67,,13,5,7,2,22,59%,5,11,4,15,22,27,3
54,12436989,brighton,476,12/19 (63%),59%,3,1,2,0,5,12,2,4/16 (25%),8,11/25 (44%),49%,2,2,1.11,68,98/141 (70%),3,8,11,7,2,-0.90,37/81 (46%),,0,12,19/36 (53%),2,552,,,56,,8,5,5,7,16,50%,1,21,2,15,16,28,2
55,12436992,everton,259,28/48 (58%),40%,1,1,0,,2,22,5,7/23 (30%),16,8/17 (47%),48%,,,0.89,53,76/128 (59%),3,13,9,8,3,-0.29,31/74 (42%),3,0,16,27/60 (45%),2,347,,0,57,,5,4,2,3,14,36%,,22,3,8,14,16,2
55,12436992,crystal-palace,435,20/48 (42%),60%,1,0,1,,7,26,8,3/20 (15%),12,5/7 (71%),52%,,,0.95,63,86/135 (64%),4,11,13,4,0,-1.41,43/74 (58%),0,0,8,29/62 (47%),0,535,,2,57,,11,5,5,6,25,68%,,21,0,17,25,31,0
56,12437001,forest,278,18/25 (72%),41%,0,,0,,5,22,6,5/26 (19%),6,4/5 (80%),57%,,0,0.80,43,84/122 (69%),2,11,15,5,1,-0.22,27/54 (50%),0,0,9,11/35 (31%),7,351,,1,35,,6,5,1,5,8,38%,1,13,1,11,8,33,2
56,12437001,fulham,459,7/25 (28%),59%,1,,1,,7,40,5,4/23 (17%),3,9/14 (64%),43%,,1,1.33,60,126/157 (80%),2,15,11,6,1,0.01,27/54 (50%),1,0,9,18/36 (50%),1,527,,1,34,,10,5,2,4,7,29%,1,10,1,14,7,24,4
57,12437002,wolves,357,10/20 (50%),45%,1,0,1,1,2,23,2,3/15 (20%),6,7/11 (64%),50%,0,1,0.63,36,63/95 (66%),1,16,8,7,4,-0.48,29/58 (50%),2,0,9,21/41 (51%),1,426,,,49,,5,3,3,3,14,79%,,15,4,8,14,18,2
57,12437002,liverpool,455,10/20 (50%),55%,3,2,1,0,1,10,10,6/21 (29%),7,4/11 (36%),50%,1,0,2.54,48,105/138 (76%),2,8,15,5,2,0.12,29/58 (50%),1,0,7,15/40 (38%),2,534,,,51,,8,3,6,2,10,90%,,14,2,10,10,38,3
58,12436993,ipswich,347,10/17 (59%),44%,4,3,1,0,4,15,10,3/17 (18%),10,10/15 (67%),57%,1,,1.18,54,69/97 (71%),2,10,14,5,1,-0.83,40/70 (57%),0,0,7,20/45 (44%),2,408,,,46,,10,6,5,5,18,50%,1,12,1,15,18,22,4
58,12436993,aston-villa,480,7/17 (41%),56%,2,1,1,1,0,16,0,1/4 (25%),13,5/10 (50%),43%,0,,0.82,83,151/190 (79%),3,14,10,10,3,0.38,30/70 (43%),1,0,5,25/49 (51%),1,542,,,38,,4,4,3,3,15,60%,1,12,3,7,15,18,1
59,12436995,man-utd,312,6/14 (43%),39%,0,0,0,,4,16,5,6/21 (29%),1,2/8 (25%),56%,,,0.96,54,83/121 (69%),2,16,14,10,7,0.46,40/68 (59%),1,1,17,28/61 (46%),2,395,,,54,1,10,5,2,1,27,56%,0,9,7,11,27,25,5
59,12436995,tottenham,562,8/14 (57%),61%,9,6,3,,7,14,3,6/15 (40%),15,6/18 (33%),44%,,,4.59,48,114/150 (76%),3,14,16,9,2,0.28,28/68 (41%),1,1,11,16/33 (48%),1,636,,,53,0,18,7,10,6,7,86%,1,16,2,24,7,45,3
60,12436982,bournemouth,305,9/26 (35%),40%,1,,1,1,6,17,6,1/19 (5%),15,8/13 (62%),44%,,0,1.37,54,85/123 (69%),6,19,11,4,2,0.28,39/84 (46%),1,0,11,20/51 (39%),1,378,,0,60,,9,2,6,5,20,40%,2,19,2,14,20,27,2
60,12436982,southampton,499,17/26 (65%),60%,1,,1,1,3,22,4,3/14 (21%),12,7/15 (47%),56%,,1,0.60,48,81/111 (73%),3,12,19,6,3,-1.38,45/84 (54%),1,0,8,23/44 (52%),1,577,,1,47,,6,3,3,3,20,60%,0,23,3,9,20,16,5
61,12437015,crystal-palace,209,7/34 (21%),32%,2,2,0,1,0,25,3,1/9 (11%),6,4/11 (36%),38%,,,0.64,47,48/91 (53%),1,7,15,10,3,-0.48,27/55 (49%),,0,5,20/58 (34%),1,300,,0,55,,3,4,5,6,8,75%,1,10,3,9,8,9,4
61,12437015,liverpool,549,27/34 (79%),68%,4,3,1,0,5,16,8,4/16 (25%),8,8/8 (100%),62%,,,1.40,69,140/190 (74%),2,15,7,7,5,1.16,28/55 (51%),,0,13,31/64 (48%),0,642,,2,56,,8,7,4,8,13,46%,2,22,5,16,13,28,2
62,12437004,arsenal,483,9/24 (38%),59%,4,2,2,0,10,10,13,6/32 (19%),10,14/19 (74%),52%,0,0,2.83,61,199/232 (86%),2,10,9,1,1,-0.35,39/69 (57%),,1,9,19/34 (56%),1,536,,0,50,,20,13,6,9,16,75%,1,18,1,29,16,65,0
62,12437004,southampton,337,15/24 (63%),41%,2,2,0,1,5,33,1,1/7 (14%),9,6/13 (46%),48%,2,1,0.65,32,40/55 (73%),0,9,10,17,3,-0.34,30/69 (43%),,2,9,13/34 (38%),0,395,,1,33,,5,1,2,3,15,67%,0,7,3,8,15,8,3
63,12437008,brentford,283,22/42 (52%),44%,8,4,4,,3,32,10,13/27 (48%),9,5/13 (38%),52%,,0,4.25,51,88/126 (70%),2,9,9,10,3,-1.58,30/58 (52%),1,0,6,28/57 (49%),5,365,,1,54,,14,4,12,5,16,50%,1,11,3,19,16,46,2
63,12437008,wolves,376,20/42 (48%),56%,1,1,0,,4,22,3,4/20 (20%),7,2/11 (18%),48%,,1,1.05,59,100/145 (69%),2,10,9,10,7,-0.18,28/58 (48%),0,0,5,24/64 (38%),1,478,,0,48,,10,7,6,7,17,88%,0,12,7,17,17,31,3
64,12437020,leicester,280,21/38 (55%),44%,2,1,1,1,1,36,0,1/6 (17%),11,6/17 (35%),49%,,,0.79,49,39/72 (54%),0,12,14,14,2,0.77,34/75 (45%),2,0,7,33/73 (45%),2,368,,,53,,3,3,2,3,14,71%,2,26,2,6,14,13,4
64,12437020,bournemouth,362,17/38 (45%),56%,5,5,0,0,6,20,9,8/30 (27%),10,9/13 (69%),51%,,,2.16,63,118/160 (74%),3,14,11,8,1,-0.20,41/75 (55%),1,2,6,20/43 (47%),1,443,,,54,,15,11,2,4,22,64%,0,17,1,19,22,34,1
65,12437022,man-city,575,7/13 (54%),58%,1,1,0,1,8,19,8,6/16 (38%),10,11/24 (46%),51%,,1,1.57,56,194/239 (81%),6,4,10,1,2,0.48,31/62 (50%),0,0,4,11/16 (69%),0,634,,,42,,10,5,7,10,10,70%,1,10,2,20,10,39,2
65,12437022,fulham,392,6/13 (46%),42%,5,3,2,1,4,22,3,4/15 (27%),4,5/11 (45%),49%,,1,2.60,53,119/143 (83%),0,10,4,8,4,-1.72,31/62 (50%),1,0,7,26/46 (57%),3,452,,,38,,9,3,4,2,23,39%,1,12,4,11,23,26,1
66,12437024,west-ham,432,10/26 (38%),53%,9,6,3,,4,18,5,3/11 (27%),7,8/16 (50%),45%,0,0,3.79,45,68/91 (75%),1,12,5,7,2,-0.35,32/68 (47%),2,2,8,31/54 (57%),3,496,,1,55,,17,6,13,6,19,58%,1,13,2,23,19,27,0
66,12437024,ipswich,361,16/26 (62%),47%,2,2,0,,3,14,5,3/15 (20%),13,11/17 (65%),55%,1,1,0.65,54,81/117 (69%),2,6,10,5,8,-0.70,36/68 (53%),5,0,6,25/44 (57%),1,430,,0,44,,5,4,2,4,15,73%,0,24,8,9,15,16,1
67,12437018,everton,228,14/25 (56%),32%,2,2,,1,1,30,0,2/9 (22%),16,13/22 (59%),50%,,,0.67,58,60/107 (56%),1,12,8,9,3,0.86,39/82 (48%),1,0,10,20/57 (35%),2,310,1,2,60,,2,5,2,6,19,58%,0,14,3,8,19,13,1
67,12437018,newcastle,566,11/25 (44%),68%,1,1,,0,3,6,10,7/22 (32%),10,6/15 (40%),50%,,,2.05,60,109/156 (70%),2,8,12,7,2,0.56,43/82 (52%),1,0,8,16/41 (39%),3,656,0,1,59,,12,8,3,2,25,52%,1,16,2,14,25,42,2
68,12437006,aston-villa,345,8/23 (35%),54%,,,,1,3,14,6,2/20 (10%),12,7/16 (44%),43%,,,0.50,41,84/110 (76%),8,12,11,5,4,0.97,30/66 (45%),1,0,6,11/35 (31%),0,416,,,45,,6,7,1,5,12,83%,0,15,4,11,12,25,1
68,12437006,man-utd,302,15/23 (65%),46%,,,,1,2,23,3,3/9 (33%),4,4/12 (33%),57%,,,0.56,54,65/97 (67%),1,11,12,11,1,0.39,36/66 (55%),1,2,12,20/47 (43%),1,369,,,40,,4,4,4,6,21,57%,1,14,1,10,21,11,5
69,12437013,chelsea,519,14/30 (47%),66%,3,3,0,3,5,17,11,5/29 (17%),8,11/15 (73%),51%,,1,2.46,70,189/234 (81%),1,12,10,3,8,0.63,34/65 (52%),1,1,8,21/42 (50%),1,591,,,48,0,14,9,8,8,14,71%,1,12,8,22,14,51,6
69,12437013,forest,233,16/30 (53%),34%,4,3,1,2,6,32,3,3/11 (27%),7,9/16 (56%),49%,,1,0.87,43,64/94 (68%),3,11,11,14,7,0.98,31/65 (48%),0,0,6,15/46 (33%),3,306,,,44,1,9,1,9,7,12,50%,0,14,7,16,12,22,4
70,12437011,brighton,301,8/16 (50%),41%,4,1,3,1,2,18,4,5/15 (33%),7,7/20 (35%),40%,2,,1.76,36,62/93 (67%),3,14,10,9,1,-0.72,28/75 (37%),0,0,11,16/48 (33%),2,364,,0,50,,9,5,4,2,12,58%,0,12,1,11,12,27,2
70,12437011,tottenham,461,8/16 (50%),59%,1,0,1,1,3,12,7,1/19 (5%),3,14/23 (61%),60%,1,,1.34,56,86/122 (70%),2,10,13,6,1,-0.74,47/75 (63%),1,0,7,19/33 (58%),2,526,,1,44,,11,7,3,2,20,60%,2,17,1,13,20,32,2
71,12437038,tottenham,414,9/16 (56%),57%,2,2,0,2,6,14,13,9/28 (32%),15,7/25 (28%),47%,,0,1.92,58,138/173 (80%),1,10,15,7,2,-0.13,47/104 (45%),1,1,5,17/28 (61%),2,477,,,51,0,17,9,7,5,25,64%,,18,2,22,25,43,1
71,12437038,west-ham,295,7/16 (44%),43%,2,1,1,0,3,25,5,3/12 (25%),10,15/30 (50%),53%,,1,0.78,34,69/96 (72%),1,15,9,11,4,-3.24,57/104 (55%),2,0,11,37/63 (59%),1,366,,,40,1,7,4,4,4,33,76%,,17,4,11,33,21,3
72,12437028,fulham,377,14/19 (74%),52%,4,4,,1,1,22,6,7/30 (23%),8,3/6 (50%),58%,,1,1.78,47,83/106 (78%),5,8,10,8,4,-1.82,31/58 (53%),1,0,14,23/46 (50%),2,434,0,2,43,1,9,5,4,1,18,61%,0,14,4,10,18,24,3
72,12437028,aston-villa,361,5/19 (26%),48%,2,2,,0,4,19,11,3/19 (16%),12,8/14 (57%),42%,,0,1.68,48,75/104 (72%),2,11,8,7,3,0.44,27/58 (47%),2,0,14,15/26 (58%),2,408,1,0,41,1,10,5,5,4,11,45%,3,13,3,14,11,27,5
73,12437034,man-utd,409,23/41 (56%),50%,3,1,2,1,6,24,9,6/19 (32%),8,5/12 (42%),54%,,,1.33,65,108/146 (74%),0,4,5,7,1,0.06,34/65 (52%),1,0,8,29/61 (48%),1,488,,0,53,,13,6,11,10,25,64%,1,18,1,23,25,35,2
73,12437034,brentford,412,18/41 (44%),50%,2,1,1,3,2,31,2,5/13 (38%),13,12/24 (50%),46%,,,0.86,54,76/115 (66%),2,5,4,8,9,-0.01,31/65 (48%),0,0,10,19/46 (41%),3,484,,1,59,,6,4,2,2,15,73%,1,16,9,8,15,14,2
74,12437035,newcastle,448,10/26 (38%),60%,4,4,0,0,9,6,9,3/23 (13%),18,10/18 (56%),49%,,1,2.02,69,133/189 (70%),4,11,8,7,4,0.68,44/84 (52%),0,0,13,19/46 (41%),3,544,,0,60,,15,6,6,6,26,73%,2,20,4,21,26,45,2
74,12437035,brighton,294,16/26 (62%),40%,4,3,1,1,2,37,4,3/8 (38%),12,3/17 (18%),51%,,0,1.12,41,47/71 (66%),0,9,11,8,6,0.91,40/84 (48%),1,0,9,27/59 (46%),0,371,,1,63,,8,3,5,2,26,58%,2,14,6,10,26,12,2
75,12437037,southampton,297,12/19 (63%),42%,3,1,2,,2,30,10,5/19 (26%),18,6/18 (33%),48%,,,2.15,47,69/99 (70%),0,10,10,11,1,-0.47,37/84 (44%),0,1,9,20/46 (43%),1,359,,0,34,1,14,5,7,0,21,76%,0,16,1,14,21,29,5
75,12437037,leicester,420,7/19 (37%),58%,4,2,2,,4,22,6,8/27 (30%),8,7/20 (35%),52%,,,3.21,67,138/176 (78%),2,10,10,7,6,0.62,47/84 (56%),2,2,5,23/39 (59%),2,492,,1,47,0,14,10,4,4,30,57%,1,17,6,18,30,41,3
76,12437030,ipswich,419,12/23 (52%),55%,2,2,0,,3,17,5,6/27 (22%),7,7/18 (39%),45%,1,2,1.25,58,87/125 (70%),4,12,9,4,6,0.26,29/68 (43%),,0,9,22/48 (46%),1,484,,0,50,,9,8,2,4,13,69%,0,18,6,13,13,24,1
76,12437030,everton,319,11/23 (48%),45%,3,2,1,,0,31,7,3/13 (23%),7,9/15 (60%),55%,0,0,1.74,46,69/106 (65%),4,10,12,9,2,0.32,39/68 (57%),,0,6,27/68 (40%),0,403,,2,50,,8,3,8,3,18,67%,1,15,2,11,18,27,1
77,12437026,bournemouth,323,12/29 (41%),49%,3,2,1,,5,20,7,3/25 (12%),6,17/28 (61%),51%,,1,1.82,66,109/150 (73%),2,12,11,6,1,0.32,44/80 (55%),1,0,6,17/49 (35%),1,405,,,48,0,9,4,4,4,16,69%,1,18,1,13,16,28,1
77,12437026,arsenal,348,17/29 (59%),51%,2,2,0,,1,26,4,4/15 (27%),10,7/13 (54%),49%,,3,0.68,49,83/125 (66%),1,11,12,7,2,-0.35,36/80 (45%),2,0,6,20/52 (38%),1,439,,,51,1,5,4,1,1,17,59%,0,12,2,6,17,22,1
78,12437039,wolves,143,14/27 (52%),22%,2,1,1,4,0,44,1,2/4 (50%),10,4/8 (50%),52%,,,0.97,30,21/46 (46%),0,8,4,9,5,-0.19,34/66 (52%),2,0,6,20/71 (28%),2,216,,,45,,2,1,2,1,26,50%,1,11,5,3,26,4,4
78,12437039,man-city,657,13/27 (48%),78%,0,0,0,0,8,5,18,7/40 (18%),14,10/22 (45%),48%,,,1.62,65,411/463 (89%),5,5,8,3,1,0.32,32/66 (48%),0,0,3,12/17 (71%),1,731,,,46,,12,7,7,10,14,71%,1,20,1,22,14,85,1
79,12437032,liverpool,326,6/16 (38%),43%,3,1,2,,1,18,1,1/4 (25%),8,5/9 (56%),53%,,,1.94,54,49/90 (54%),2,12,13,9,1,-0.14,43/77 (56%),,0,6,22/61 (36%),5,409,,,48,,7,3,5,2,25,72%,1,17,1,9,25,17,4
79,12437032,chelsea,476,10/16 (63%),57%,3,2,1,,4,11,5,4/17 (24%),8,10/27 (37%),47%,,,0.99,56,104/138 (75%),2,13,12,4,3,0.01,34/77 (44%),,1,8,22/44 (50%),0,542,,,48,,9,6,2,3,12,83%,2,14,3,12,12,26,3
80,12437036,forest,362,18/32 (56%),50%,3,3,,2,9,17,6,9/23 (39%),15,16/24 (67%),51%,0,,1.76,54,111/145 (77%),1,9,11,9,7,0.86,36/74 (49%),0,1,14,25/46 (54%),2,441,,1,46,,10,5,6,10,9,56%,1,21,7,20,9,36,2
80,12437036,crystal-palace,358,14/32 (44%),50%,0,0,,1,6,25,6,3/16 (19%),6,6/9 (67%),49%,1,,0.97,56,75/114 (66%),2,12,9,6,5,0.82,38/74 (51%),1,2,5,20/43 (47%),2,448,,1,50,,11,7,7,9,23,61%,0,15,5,20,23,23,3
81,12437048,leicester,482,24/39 (62%),64%,1,0,1,1,3,26,6,7/26 (27%),8,6/17 (35%),45%,1,0,0.76,77,121/161 (75%),2,16,9,8,2,-1.29,29/78 (37%),0,0,6,20/38 (53%),0,560,,1,51,,5,7,1,6,14,71%,1,23,2,11,14,27,5
81,12437048,forest,231,15/39 (38%),36%,4,3,1,0,6,30,7,1/21 (5%),9,15/20 (75%),55%,0,1,1.73,52,85/125 (68%),4,9,15,12,0,-0.03,49/78 (63%),1,1,10,28/60 (47%),1,305,,3,51,,12,9,5,8,19,58%,0,10,0,20,19,30,3
82,12437041,aston-villa,362,13/29 (45%),57%,3,2,1,2,5,15,9,6/21 (29%),12,6/11 (55%),47%,,,1.81,54,98/138 (71%),2,12,14,9,2,0.05,30/63 (48%),3,0,11,18/43 (42%),0,438,,0,43,,13,5,8,5,11,45%,1,14,2,18,11,34,7
82,12437041,bournemouth,270,16/29 (55%),43%,0,0,0,3,3,21,7,4/20 (20%),5,5/11 (45%),53%,,,0.31,49,71/100 (71%),3,14,12,10,7,2.23,33/63 (52%),0,0,11,26/49 (53%),5,325,,2,49,,4,4,3,6,17,59%,0,7,7,10,17,17,6
83,12437043,brentford,468,26/40 (65%),65%,7,4,3,,6,31,4,8/26 (31%),4,5/14 (36%),56%,,2,4.10,68,85/131 (65%),2,7,10,8,2,-0.97,22/45 (49%),1,0,4,21/48 (44%),2,555,,0,43,0,14,5,9,6,8,75%,1,25,2,20,8,31,0
83,12437043,ipswich,210,14/40 (35%),35%,4,1,3,,0,36,5,4/19 (21%),5,3/6 (50%),44%,,0,1.30,53,74/111 (67%),0,10,7,9,6,-0.65,23/45 (51%),2,1,12,21/52 (40%),1,292,,1,49,1,8,6,5,3,13,69%,2,11,6,11,13,20,3
84,12437044,brighton,393,11/26 (42%),51%,2,1,1,0,8,21,9,6/26 (23%),12,11/23 (48%),44%,1,0,1.31,43,102/133 (77%),2,12,10,6,5,-0.31,38/86 (44%),0,0,9,30/45 (67%),2,452,,1,62,,13,5,6,6,17,59%,1,14,5,19,17,35,3
84,12437044,wolves,361,15/26 (58%),49%,1,1,0,1,5,30,6,5/19 (26%),8,12/21 (57%),56%,2,1,1.36,43,53/80 (66%),2,10,12,9,4,-0.52,48/86 (56%),1,0,9,26/59 (44%),1,438,,0,55,,14,2,7,0,24,50%,0,15,4,14,24,31,3
85,12437049,man-city,571,6/14 (43%),57%,4,3,1,,7,14,12,10/29 (34%),12,9/11 (82%),49%,,0,2.95,57,326/360 (91%),4,9,9,3,2,0.05,30/59 (51%),0,0,10,12/22 (55%),1,616,,,34,,13,7,8,9,12,58%,1,12,2,22,12,54,1
85,12437049,southampton,434,8/14 (57%),43%,1,1,0,,1,30,1,1/2 (50%),3,6/15 (40%),51%,,1,0.21,18,39/54 (72%),0,9,9,8,6,-0.21,29/59 (49%),1,1,6,13/25 (52%),2,479,,,34,,5,2,2,0,14,64%,0,11,6,5,14,14,3
86,12437047,everton,304,18/26 (69%),40%,1,0,1,1,2,26,4,6/17 (35%),10,7/13 (54%),58%,,2,0.79,62,74/114 (65%),1,8,8,11,2,0.33,34/64 (53%),0,1,8,19/51 (37%),4,383,,,50,,8,3,5,2,19,63%,,19,2,10,19,17,1
86,12437047,fulham,505,8/26 (31%),60%,1,1,0,0,2,21,2,8/17 (47%),10,7/16 (44%),42%,,0,1.26,75,116/162 (72%),0,8,7,2,4,0.31,30/64 (47%),1,0,4,26/50 (52%),2,588,,,58,,7,9,3,7,16,69%,,24,4,14,16,23,0
87,12437045,chelsea,388,13/27 (48%),50%,1,0,1,0,4,23,7,5/20 (25%),6,7/14 (50%),51%,0,0,1.61,65,115/146 (79%),0,13,15,8,1,0.17,34/66 (52%),1,1,16,26/62 (42%),2,459,,0,52,,12,6,7,5,12,67%,1,12,1,17,12,31,6
87,12437045,newcastle,362,14/27 (52%),50%,3,2,1,1,3,15,4,6/11 (55%),8,6/10 (60%),49%,1,1,1.81,64,76/122 (62%),2,16,13,7,5,-0.05,32/66 (48%),2,0,6,26/56 (46%),1,450,,3,50,,9,5,3,2,13,62%,0,21,5,11,13,24,3
88,12437046,crystal-palace,159,21/36 (58%),34%,1,0,1,0,1,33,8,6/29 (21%),12,4/11 (36%),54%,0,0,0.78,65,81/137 (59%),3,16,12,9,3,0.44,48/92 (52%),2,0,11,24/65 (37%),4,247,,0,68,,7,7,6,7,32,59%,,13,3,14,32,24,4
88,12437046,tottenham,419,15/36 (42%),66%,2,2,0,1,4,22,8,5/28 (18%),16,9/25 (36%),46%,1,1,0.74,52,98/135 (73%),1,12,16,12,5,0.52,44/92 (48%),1,1,10,24/45 (53%),1,517,,2,58,,8,4,3,3,19,74%,,18,5,11,19,25,4
89,12437050,west-ham,318,13/28 (46%),43%,4,2,2,1,1,40,6,6/23 (26%),13,10/16 (63%),47%,0,1,3.00,42,79/118 (67%),2,6,6,7,4,1.00,27/58 (47%),1,0,12,24/41 (59%),3,393,,1,57,,11,8,3,1,11,45%,0,14,4,12,11,30,5
89,12437050,man-utd,451,15/28 (54%),57%,5,4,1,0,6,27,5,6/24 (25%),4,7/14 (50%),53%,1,0,2.34,67,120/159 (75%),3,7,6,6,1,0.04,31/58 (53%),1,1,6,25/48 (52%),3,538,,0,48,,10,7,5,8,19,58%,3,24,1,18,19,33,1
90,12437040,arsenal,306,18/29 (62%),45%,2,,2,,2,24,1,3/13 (23%),10,6/12 (50%),52%,,1,0.92,41,98/132 (74%),3,14,14,6,2,-0.19,37/76 (49%),1,0,7,21/46 (46%),2,383,,,42,,5,4,3,4,17,65%,0,15,2,9,17,33,2
90,12437040,liverpool,387,11/29 (38%),55%,2,,2,,2,21,3,3/24 (13%),13,9/13 (69%),48%,,0,0.81,52,117/144 (81%),2,14,14,9,1,-0.26,39/76 (51%),0,0,5,20/61 (33%),1,466,,,35,,5,3,4,4,16,56%,1,20,1,9,16,27,2
91,12437056,newcastle,200,19/33 (58%),36%,1,0,1,0,3,26,4,1/13 (8%),14,6/9 (67%),57%,,,0.53,42,56/91 (62%),2,16,18,11,0,0.00,46/82 (56%),2,0,6,10/59 (17%),,289,,4,47,,7,2,4,2,23,65%,0,18,0,9,23,17,4
91,12437056,arsenal,433,14/33 (42%),64%,1,1,0,1,3,18,6,7/27 (26%),13,3/13 (23%),43%,,,1.05,58,142/177 (80%),4,18,16,1,3,0.28,36/82 (44%),2,0,6,16/35 (46%),,502,,0,51,,7,6,1,3,17,59%,1,17,3,10,17,31,4
92,12437051,bournemouth,282,13/28 (46%),36%,6,4,2,1,2,36,3,3/12 (25%),9,11/17 (65%),49%,,0,2.04,49,84/106 (79%),1,11,6,11,3,0.93,32/63 (51%),0,1,12,40/59 (68%),2,334,,,41,,9,4,6,3,16,75%,2,10,3,12,16,23,2
92,12437051,man-city,541,15/28 (54%),64%,3,3,0,0,4,8,10,6/27 (22%),10,6/12 (50%),51%,,1,1.56,51,196/235 (83%),2,6,11,7,4,0.51,31/63 (49%),1,1,5,23/37 (62%),0,600,,,38,,13,10,4,5,14,50%,0,17,4,18,14,47,1
